#rank	DIAMOnD_node	p_hyper
1	2902	4.812133796514517e-09
2	3320	8.39197637691807e-08
3	1739	1.1071630047850315e-07
4	6667	1.261959442568373e-07
5	5705	3.912237148450957e-08
6	11140	9.571668238238419e-08
7	5578	5.5676758274154646e-08
8	1147	5.586763331781652e-08
9	3315	5.392608954759543e-08
10	3551	1.2213273875472662e-08
11	4296	8.538244001919536e-09
12	1387	1.5219872747386524e-08
13	3667	3.138466434323702e-08
14	5579	4.7508862822416364e-08
15	50514	6.920400180098736e-08
16	2915	9.174510689351103e-08
17	983	1.0704484179967867e-07
18	3308	3.2659962514741357e-08
19	5580	2.603527697143374e-08
20	7189	1.4313206842600659e-08
21	2475	3.2755470738498867e-09
22	3091	5.398519465853753e-09
23	8878	1.9244810264627563e-09
24	10273	1.4919205811670032e-09
25	6502	1.4301183867056799e-09
26	8517	3.950861691104294e-10
27	4137	2.1284231737761716e-09
28	3326	1.8448457795803606e-09
29	5590	4.343547625937905e-10
30	3654	1.0571551083282148e-10
31	5582	5.185200413206425e-10
32	3301	1.8931449804590647e-10
33	9532	3.5700204176806247e-10
34	10294	7.919496309010035e-11
35	790	6.51756882982075e-10
36	405	3.6684469122641634e-10
37	1019	1.158428041243514e-10
38	2534	1.3313833479269638e-10
39	6714	1.0737026676902533e-10
40	10808	2.3653458203353516e-11
41	602	1.869199733391566e-11
42	1499	3.720020833894899e-11
43	6774	4.50812244978977e-11
44	1956	3.448106389425369e-11
45	3717	1.0142167430117648e-11
46	6464	4.495368466336152e-12
47	2064	2.1536399373326818e-12
48	6772	8.746901719589713e-13
49	5747	1.634500027332689e-13
50	2268	1.2947619847488014e-13
51	1445	5.00128794139009e-13
52	5594	3.3840420114172474e-12
53	6256	1.1661378690515258e-12
54	5970	3.852301081731481e-12
55	3480	1.059955508771462e-12
56	8651	7.948098929669761e-13
57	4233	5.85615620674291e-13
58	1030	4.240587671262811e-13
59	4771	7.28982522129926e-14
60	894	7.776068651673856e-15
61	5606	3.0753413867833322e-15
62	26524	2.5912530727870183e-14
63	960	3.1193615290815135e-15
64	6794	4.295072769328944e-16
65	1031	2.760186808719818e-16
66	1021	8.98624732552509e-17
67	8678	4.1995226585932427e-16
68	7015	2.0069253590300462e-16
69	898	3.8480408656623575e-17
70	84662	1.5437056666059457e-17
71	11186	2.4269446090529944e-18
72	4217	5.5586010035715424e-18
73	5608	3.063591109967651e-17
74	3082	1.5343248965986963e-18
75	2264	2.372953514291087e-17
76	1969	5.198476100587154e-18
77	11014	1.0811670960794253e-18
78	8463	6.107578545806826e-18
79	23624	6.932623929751172e-18
80	4194	1.0779252646833106e-18
81	1432	1.0048282656423979e-16
82	5781	3.555843075444262e-15
83	5295	4.634357049085684e-15
84	5524	9.94086078011621e-16
85	867	2.278533552445508e-15
86	5156	4.890000450071026e-16
87	4193	9.351875167340208e-16
88	5290	1.0860829049161076e-15
89	5296	2.5754755223241134e-15
90	25	3.2291568335097307e-16
91	2066	7.827687301107304e-16
92	7157	6.964298927218538e-16
93	3716	2.60239574827157e-16
94	472	4.823207484779622e-16
95	6197	2.5092290425768225e-16
96	27	8.003110183312876e-16
97	3310	9.841435445575721e-16
98	5335	1.2574886920241992e-16
99	3702	3.3572727495095083e-16
100	2885	3.218656510789888e-16
101	857	5.415204059738525e-16
102	3303	3.5544563133284433e-16
103	3312	3.044564357391996e-16
104	6195	6.966198520996193e-17
105	369	1.6123694765678523e-17
106	203068	9.961298005922485e-17
107	2065	1.8777853196400434e-17
108	3932	3.456203464009107e-18
109	5921	2.2084653727758926e-18
110	7535	3.8826325047657533e-19
111	7525	9.44622302486859e-19
112	2549	8.604345504512387e-19
113	3055	2.9215099769914173e-19
114	3815	1.4078551769023956e-19
115	9021	1.1733120614141408e-19
116	2185	4.672063146292243e-19
117	868	9.822300442459425e-19
118	5753	6.654980401388598e-20
119	1796	5.351123051064554e-19
120	1399	5.3070559599166356e-20
121	6850	7.398636848330972e-20
122	5829	2.817354019497319e-20
123	4067	1.11713186338085e-19
124	6654	1.6796580408512106e-19
125	1398	2.6399125807053818e-20
126	6461	4.916661613117612e-20
127	367	1.7959943222380296e-20
128	5336	2.205925504236297e-20
129	7409	6.360229627436676e-21
130	695	2.8815991096807464e-21
131	8503	1.9450137381127925e-20
132	29760	6.421754654729456e-20
133	5159	8.93452481311672e-20
134	10818	1.2012829558853898e-20
135	5777	1.812394996929325e-20
136	1436	5.655685085686023e-20
137	3937	2.2132634200227614e-19
138	640	2.519594007573645e-19
139	6503	8.760044234947124e-21
140	3313	2.0421810401958517e-19
141	10188	2.0725247950699705e-20
142	10657	6.44919065443601e-20
143	3327	7.951137191234692e-20
144	7006	1.6076105005915083e-19
145	4690	2.372368489653963e-19
146	7454	3.4091562309486995e-20
147	4145	2.7457494873825683e-19
148	3643	8.133270007048244e-19
149	10451	1.0961110500401775e-19
150	2887	2.935295115617755e-19
151	5979	1.6636071350765492e-19
152	3309	3.697798845638706e-19
153	3728	1.2630307510767617e-19
154	238	6.384446484978947e-19
155	2002	9.159394251734958e-19
156	9846	1.3629468865544136e-18
157	79705	5.095334798770338e-19
158	9047	1.0854043899906913e-19
159	7534	1.843626309936117e-18
160	408	3.4326557825674426e-19
161	3304	2.394461306992483e-18
162	30011	3.610138352844848e-18
163	6452	1.4025547636457372e-18
164	3636	1.5898922138313993e-18
165	5175	4.107699698620021e-18
166	292	4.9913298070045615e-18
167	5728	1.402572296105867e-18
168	1938	3.090947359654634e-18
169	399694	5.877616083458846e-18
170	5894	7.345926165522605e-18
171	3690	2.575017310390426e-18
172	1213	6.07164606906756e-18
173	5604	7.459960393845697e-18
174	673	1.0419991736822498e-18
175	5581	1.087149418507637e-18
176	9590	7.172769852173886e-19
177	5250	2.037981546689839e-18
178	5605	9.793983837222313e-19
179	5598	1.68637194087683e-18
180	83737	4.141561143456515e-18
181	10971	2.006180173651398e-18
182	9743	1.3895956838553045e-18
183	9564	1.5076228709782473e-18
184	7094	3.928252123236309e-19
185	4914	1.1456927966477432e-18
186	5536	2.786491035630707e-19
187	79834	1.2263209796469067e-18
188	2288	1.457346494226121e-18
189	801	3.743968861829276e-19
190	25970	5.479748877674682e-20
191	1025	1.052047279719754e-18
192	4627	3.956393087232376e-19
193	498	1.8874043245346033e-19
194	3305	1.2336077536386865e-19
195	2597	1.661135961562641e-19
196	10075	5.2556563187404105e-20
197	7532	1.23706910023386e-19
198	476	1.4952203052867692e-19
199	1452	3.5805400829859835e-20
200	7531	7.486103784862386e-20
