#rank	DIAMOnD_node	p_hyper
1	2902	1.875381732205837e-09
2	3320	4.374104941914916e-09
3	5705	1.8351409489905693e-08
4	6667	4.563116402547383e-09
5	1387	2.7784069361611373e-08
6	4193	2.175568751684347e-08
7	5451	3.342701072085454e-08
8	11140	3.70675227839657e-08
9	6195	1.1355734426847547e-08
10	3308	2.4088368160386968e-08
11	9063	5.503814896758087e-08
12	5241	4.3752209873915805e-08
13	5594	3.396935294746086e-08
14	3725	1.731358174773804e-08
15	1386	4.9239348485783105e-09
16	3091	7.01308522168789e-09
17	8850	1.2704621702333685e-09
18	408	1.4938167553473818e-09
19	6714	1.7465374308390796e-09
20	10273	1.308118312929947e-09
21	6256	3.3769471163164373e-09
22	602	1.435139955852318e-09
23	8841	6.660061276527583e-10
24	7189	2.9185729199199375e-10
25	1147	1.2887247986609497e-10
26	3551	2.2521045585601755e-10
27	4296	1.6643857493581512e-11
28	8202	1.3395686933871786e-10
29	5914	1.6027056441661194e-10
30	8648	7.716651459063116e-11
31	4088	2.212244101973705e-11
32	7421	1.6788114110756887e-11
33	5970	1.0447510938594022e-11
34	2033	1.6473627156129845e-11
35	2353	8.725901324330435e-12
36	860	1.7925287459150684e-12
37	9611	1.651270134612645e-11
38	2113	4.1544946368580265e-12
39	4790	3.918080923072164e-12
40	9612	2.3604708534708277e-12
41	23054	2.292170570539181e-12
42	5468	3.8422240034301134e-13
43	10524	2.8030652402546396e-12
44	23411	1.8246712343841367e-12
45	2101	4.5011114882451177e-13
46	8431	6.122288856413073e-14
47	10062	2.545835973325152e-14
48	10499	2.464602123025123e-12
49	8856	1.55475527024594e-13
50	10891	1.4969752543240606e-13
51	9971	3.117034594052162e-13
52	7329	4.486063503362393e-13
53	3172	8.832299460467959e-14
54	9970	2.453567609037126e-14
55	9759	1.726379609009648e-13
56	5467	9.984472789421078e-14
57	7376	1.0214346646648168e-13
58	29947	1.5165955676842445e-14
59	6772	3.5259402536920116e-13
60	5465	9.817394255921068e-14
61	8204	4.8204758745547545e-14
62	6258	4.463117997675123e-15
63	7068	1.7135678298428393e-15
64	5591	2.0117697211179658e-13
65	7067	8.946142592415707e-14
66	595	2.0763880189360615e-13
67	405	3.922741853854942e-13
68	7157	4.486771201175564e-13
69	4792	7.774827779228394e-14
70	1869	1.8145837983630692e-13
71	5925	6.076382689950407e-14
72	2309	3.0605606872525824e-14
73	1487	1.7454460302488316e-14
74	1026	1.6457337476713768e-13
75	8554	2.7610482164239596e-13
76	7161	1.5295325901037689e-13
77	3065	3.655650897141617e-13
78	6670	3.6987456879221166e-14
79	6908	9.930756942171495e-14
80	4261	4.6366099675117125e-14
81	1499	1.7549058133126426e-13
82	4800	3.06726634698588e-14
83	4801	1.2391227487694912e-14
84	983	9.193573266108114e-15
85	2547	6.858769867757028e-15
86	1457	1.2999598754185475e-14
87	5371	1.0943464887565337e-14
88	6996	4.0936259574830456e-15
89	6597	5.2393189875488446e-15
90	3164	2.340008744728157e-15
91	3315	2.8304449337926304e-15
92	7520	1.0644245452069383e-15
93	4772	5.663015181511461e-16
94	472	7.198312423279859e-16
95	7428	7.218380265295698e-16
96	2034	7.949283483344513e-16
97	51341	9.142404430907112e-16
98	5469	1.97633351204307e-15
99	196	6.062440679103165e-16
100	142	2.390033056603779e-16
101	6722	1.2775515954296583e-15
102	3159	1.5626177362862887e-15
103	1050	2.233160312993102e-15
104	7704	3.0305336242288924e-16
105	7341	5.3260641891908583e-17
106	4780	6.914226844697447e-16
107	7020	7.539520737940498e-16
108	1786	2.621160133283052e-15
109	6502	2.895971533972644e-15
110	8517	2.191977213777189e-15
111	1019	2.4031881821266458e-15
112	4089	4.38321880089572e-15
113	3726	8.609053267860462e-16
114	7528	5.100596276112382e-16
115	3727	3.2521065945570367e-16
116	6720	7.737899490302796e-16
117	688	1.6708250534084854e-16
118	4087	2.37171824963456e-16
119	3066	7.543566470826196e-17
120	2648	2.6694298533565633e-16
121	8805	4.465133882918195e-16
122	2969	1.4357366795104642e-16
123	9862	9.764377087925148e-16
124	51588	1.0466523936491736e-15
125	6591	7.219964133065335e-17
126	4092	1.2576373832154855e-16
127	1432	9.15940722103768e-16
128	8091	1.4884995777984165e-15
129	10401	1.7660843363699324e-16
130	4086	5.76242583720351e-16
131	861	4.0928674654577604e-16
132	4654	1.9666673293575798e-16
133	1021	6.746931070977014e-16
134	1017	1.2884702837814907e-15
135	898	2.0340729848275764e-16
136	115426	5.618741243182695e-17
137	7874	1.1220191708130113e-16
138	6599	6.628084207412414e-17
139	4683	1.1992248099722173e-16
140	4194	5.792584664890918e-17
141	6595	2.3113390467354296e-17
142	3146	2.774994010680937e-17
143	25942	8.025982412693573e-17
144	1649	1.564993480170655e-16
145	6601	4.3122873529745036e-17
146	6604	5.423105595531561e-17
147	8289	1.7067726697946772e-17
148	5971	3.098981094989899e-17
149	6605	1.5300942099744697e-17
150	6603	2.833506421689532e-17
151	26039	2.639226566912514e-18
152	6760	2.5885289347335416e-18
153	6598	6.802989819151126e-19
154	2313	6.918864895329893e-19
155	2118	1.1475391771299355e-19
156	57492	6.884407894412296e-20
157	2623	2.8010791868759157e-20
158	2078	3.7891591881548056e-20
159	8193	2.6583946064553733e-21
160	86	1.4326185896353076e-20
161	605	2.0012707120441797e-21
162	5977	3.8943745143861253e-22
163	2624	3.9899541538581636e-23
164	6602	1.226808450887214e-22
165	196528	1.6557902549168107e-23
166	3659	2.0587574513692353e-24
167	9274	1.0002785757187234e-24
168	29998	1.8974123619353726e-25
169	55193	2.8157373159901833e-26
170	121340	4.0196776180411673e-25
171	8110	6.08942761450627e-26
172	55274	1.299154044776976e-26
173	6662	2.367715591841394e-26
174	65980	3.8283928614746803e-26
175	9275	1.1228868406188376e-25
176	2625	1.2600292551338182e-22
177	79718	3.885912456935515e-23
178	5080	4.210478480748643e-22
179	1406	4.832075967759356e-22
180	6663	4.020739778946754e-23
181	4774	1.6937128344685073e-23
182	6907	6.5041463207250254e-24
183	4784	1.0337339567306186e-24
184	4782	4.544535271221096e-25
185	4781	7.587326873058315e-26
186	8085	5.77090293317739e-25
187	64321	2.939268182123191e-26
188	84678	1.6412625293968113e-25
189	6928	1.5248765092599165e-26
190	6862	3.6338315770188274e-26
191	7227	3.135706022256207e-26
192	8521	1.0170714542374665e-25
193	7403	1.1497465012578345e-25
194	1959	1.8278061538901667e-26
195	5929	2.2633176200751254e-26
196	503627	8.464364007488288e-27
197	79447	2.4858076285952398e-27
198	7090	5.888414253483869e-27
199	5081	1.7940907823539064e-27
200	57479	1.5132247208110015e-28
