#rank	DIAMOnD_node	p_hyper
1	3320	6.797124176018802e-08
2	9063	1.694195211209887e-07
3	1387	1.422583513546331e-07
4	4193	5.4109330207840045e-08
5	3725	2.2768100500680283e-08
6	6667	2.4343075828710846e-08
7	405	2.3099165309379254e-08
8	3091	8.597641057363515e-09
9	10524	1.1666502630919784e-08
10	1386	7.010231968470555e-09
11	7341	3.068672687939151e-09
12	5594	1.516457413558818e-08
13	6714	5.291272725923752e-09
14	6195	5.853002965392848e-09
15	408	7.922550787392014e-09
16	5451	3.5124920959074263e-09
17	5241	7.1210863732345546e-09
18	8841	3.679912120281557e-09
19	5970	9.25668866306382e-10
20	6256	1.8452056162046604e-10
21	602	1.8697900556607704e-10
22	2033	1.1495627916277645e-10
23	8648	3.112284011914184e-11
24	8850	6.072073106442989e-11
25	3308	3.6537181675698076e-11
26	4088	3.556366530419602e-11
27	8202	4.480111815311424e-12
28	7421	6.462103913591347e-13
29	2353	6.301832255673085e-12
30	9612	1.4728194921603526e-12
31	5914	6.957862904344089e-13
32	23054	6.309734992087086e-13
33	10499	6.772527048683869e-13
34	5468	1.437683175273785e-13
35	9611	2.126449934674566e-13
36	23411	4.443144519599289e-14
37	595	1.7584877746841976e-13
38	10062	3.6177733318289776e-14
39	3727	9.731854704899491e-14
40	3172	2.466116725782728e-13
41	8431	6.980119363615774e-14
42	8856	1.00513609044451e-14
43	10891	1.5041904208495435e-13
44	9971	3.0645984386503124e-14
45	9970	5.61862579701187e-14
46	7329	9.538161208386079e-14
47	7068	2.977302823060557e-14
48	7067	3.2468055824671886e-14
49	8204	7.41249651364039e-15
50	2101	4.464460186625599e-14
51	7376	1.1966552545737736e-13
52	6258	1.229763389194085e-14
53	5467	3.573267067836897e-15
54	5465	4.28803554917157e-15
55	6772	2.512065873375695e-14
56	9759	9.090230443683506e-15
57	860	1.8571307708820223e-14
58	4790	3.71862226772926e-14
59	2113	3.164677941139675e-15
60	29947	8.746129485904662e-16
61	1869	3.773865320689668e-14
62	8554	5.781435724191494e-14
63	3726	1.049787570998016e-13
64	6996	5.6280442935722525e-14
65	7157	7.449817304784621e-14
66	4772	4.718387428954255e-14
67	5705	9.931899738951389e-14
68	1026	5.1999671811522495e-14
69	5925	3.4191706491160475e-14
70	7704	1.2980308732549567e-14
71	1050	6.325165529436328e-15
