#rank	DIAMOnD_node	p_hyper
1	2902	1.8986787069168697e-09
2	3320	4.544404113641784e-09
3	5705	1.880409275929173e-08
4	6667	4.666823048214055e-09
5	1387	2.8485971473557716e-08
6	4193	2.2356157468925892e-08
7	5451	3.396430799576877e-08
8	11140	3.808101524668903e-08
9	6195	1.156165840330179e-08
10	3308	2.4769405787450094e-08
11	9063	5.591727333840646e-08
12	5241	4.428259619668441e-08
13	5594	3.477266478070899e-08
14	3725	1.772744897864585e-08
15	1386	5.0230077432293535e-09
16	3091	7.188601977076952e-09
17	8850	1.2975720163199657e-09
18	408	1.5282478660117038e-09
19	6714	1.7966526310919023e-09
20	10273	1.3478188504050768e-09
21	6256	3.4358752315244765e-09
22	602	1.4530058911689928e-09
23	8841	6.815027352340966e-10
24	7189	2.999566002707926e-10
25	1147	1.3168770629023818e-10
26	3551	2.3010412132788817e-10
27	4296	1.689353465675595e-11
28	8202	1.367561886493274e-10
29	5914	1.6346123485177393e-10
30	8648	7.863616574519338e-11
31	4088	2.2772889182748563e-11
32	7421	1.7111442746528886e-11
33	5970	1.0774812469007778e-11
34	2033	1.7285547884080164e-11
35	2353	8.953813242662137e-12
36	860	1.8236965632496155e-12
37	9611	1.695637174614746e-11
38	2113	4.235243391563056e-12
39	4790	4.0247166863922294e-12
40	9612	2.4228033510988534e-12
41	23054	2.3416012831817016e-12
42	5468	3.955887097604427e-13
43	10524	2.884638778769537e-12
44	23411	1.8827942813607418e-12
45	2101	4.579892242107084e-13
46	8431	6.23719240928538e-14
47	10062	2.5908966847124607e-14
48	10499	2.5152211018207405e-12
49	8856	1.5803262443780674e-13
50	10891	1.524967016130673e-13
51	9971	3.160929258910657e-13
52	7329	4.664790914545067e-13
53	3172	9.096459992701111e-14
54	9970	2.494173579433044e-14
55	9759	1.7855400180783717e-13
56	5467	1.0203836845186392e-13
57	7376	1.0405684631828941e-13
58	29947	1.5485857173626537e-14
59	6772	3.6335402028369293e-13
60	5465	1.0012121533763693e-13
61	8204	4.9417493093919144e-14
62	6258	4.537353242814251e-15
63	7068	1.7481070166498778e-15
64	5591	2.0973808502619827e-13
65	7067	9.133342396298449e-14
66	595	2.138107060883925e-13
67	405	4.031487512629816e-13
68	7157	4.807346836059532e-13
69	4792	7.992825589221494e-14
70	1869	1.859875898503162e-13
71	5925	6.275447919963917e-14
72	2309	3.124935815460713e-14
73	1487	1.8063303225588224e-14
74	1026	1.7007002349707037e-13
75	8554	2.850435817906784e-13
76	7161	1.567754026069625e-13
77	3065	3.846216781793693e-13
78	6670	3.7724534073457074e-14
79	6908	1.0218233751312297e-13
80	4261	4.713234265087563e-14
81	1499	1.8431827692937884e-13
82	4800	3.135088339109714e-14
83	4801	1.2625391353286761e-14
84	983	9.580069431917663e-15
85	2547	7.225265257210987e-15
86	1457	1.3670112395587119e-14
87	5371	1.1525688641948842e-14
88	6996	4.1759288623824146e-15
89	6597	5.442437222498102e-15
90	3164	2.4116702089851628e-15
91	3315	2.96934639285209e-15
92	7520	1.1108298997140089e-15
93	4772	5.826443374363341e-16
94	472	7.461575281729411e-16
95	7428	7.527703720519841e-16
96	2034	8.178306908324307e-16
97	51341	9.386849764096505e-16
98	5469	2.0349750288405546e-15
99	196	6.22485387294228e-16
100	142	2.550977418358908e-16
101	6722	1.3089706796370432e-15
102	3159	1.6251113056556728e-15
103	1050	2.3722913464920222e-15
104	7704	3.1213608616584816e-16
105	7341	5.518812272744196e-17
106	4780	7.113601104994943e-16
107	7020	7.725385996425317e-16
108	1786	2.7064498061981484e-15
109	6502	2.9982749840606023e-15
110	8517	2.283250206733445e-15
111	1019	2.485961234462931e-15
112	4089	4.564780105423156e-15
113	3726	8.830342447667525e-16
114	7528	5.319681735603991e-16
115	3727	3.325434500488981e-16
116	6720	7.928666678080544e-16
117	688	1.7244176281289347e-16
118	4087	2.4634708671207245e-16
119	3066	7.979610047222021e-17
120	2648	2.7521910340723153e-16
121	8805	4.649236346779102e-16
122	2969	1.495380451824322e-16
123	9862	1.0015265538794258e-15
124	51588	1.0778284744218794e-15
125	6591	7.36709112274068e-17
126	4092	1.2915817558256921e-16
127	1432	9.502348328715424e-16
128	8091	1.529755853542448e-15
129	10401	1.8079647675766524e-16
130	4086	5.940380346673189e-16
131	861	4.246912234813998e-16
132	4654	2.0277471744136067e-16
133	1021	6.968321931333349e-16
134	1017	1.3582121036912707e-15
135	898	2.088869511020493e-16
136	115426	5.782782436907355e-17
137	7874	1.1875300305640833e-16
138	6599	6.910777673164661e-17
139	4683	1.2377685679017515e-16
140	4194	5.94947490240554e-17
141	6595	2.4084572811831333e-17
142	3146	2.9063303628649984e-17
143	25942	8.36065882448333e-17
144	1649	1.608853767635848e-16
145	6601	4.492803365299671e-17
146	6604	5.564208265234018e-17
147	8289	1.768943743576533e-17
148	5971	3.176388957646333e-17
149	6605	1.5902653220849198e-17
150	6603	2.9280922873257696e-17
151	26039	2.7144286389845872e-18
152	6760	2.6594708567032004e-18
153	6598	7.113619277930498e-19
154	2313	7.085862965538046e-19
155	2118	1.1780023874225677e-19
156	57492	7.134579524594435e-20
157	2623	2.900295108417896e-20
158	2078	3.9426034562097774e-20
159	8193	2.7417311916427495e-21
160	86	1.4951442781062762e-20
161	605	2.0706560146141413e-21
162	5977	4.093690969491976e-22
163	2624	4.1599040606459494e-23
164	6602	1.289907185476013e-22
165	196528	1.7212432958429366e-23
166	3659	2.122001553700393e-24
167	9274	1.0379212568989845e-24
168	29998	1.9581896134854961e-25
169	55193	2.9533380543155556e-26
170	121340	4.234999975744278e-25
171	8110	6.313172874017619e-26
172	55274	1.354361851840024e-26
173	6662	2.454885524660806e-26
174	65980	3.973566103513052e-26
175	9275	1.1640950976826576e-25
176	2625	1.3121904647584263e-22
177	79718	4.039160727220735e-23
178	5080	4.42994207358441e-22
179	1406	5.055641087208439e-22
180	6663	4.143557346477902e-23
181	4774	1.767848507942616e-23
182	6907	6.762027161807721e-24
183	4784	1.0815580520456228e-24
184	4782	4.760072426708364e-25
185	4781	7.90842006107957e-26
186	8085	6.020029577551368e-25
187	64321	3.0440810439562215e-26
188	84678	1.7123653874833473e-25
189	6928	1.5979311372560838e-26
190	6862	3.779866089413967e-26
