Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Chemical Synaptic Transmission (GO:0007268)	50/273	5.133289e-42	1.308989e-38	0	0	1.978979e+01	1.881471e+03	GABRB3;CHRM2;SNAP25;GRIK3;HTR2C;DBH;HTR2A;SLC6A1;HTR4;SLC6A2;CRHBP;HTR7;GRM7;SLC18A2;CHRNB3;GRID1;HTR3A;HTR3B;PDYN;SYN1;CRH;GRIA1;CHRNA2;CHRNA4;NRXN1;CHRNA6;SLC1A1;CHAT;SLC1A2;CPLX1;ATXN3;GRIN2A;PENK;HCRT;DRD2;GRIA3;DRD4;HOMER1;GABRA6;GAD1;GABRA3;HTR1D;HTR1A;HTR1B;OPRK1;GRIN2B;HCRTR1;TH;DLG4;PNOC
GO_Biological_Process_2023	Anterograde Trans-Synaptic Signaling (GO:0098916)	41/199	1.162975e-36	1.482793e-33	0	0	2.208065e+01	1.826999e+03	GABRB3;CHRM2;GRIA1;SNAP25;CHRNA2;CHRNA4;NRXN1;CHRNA6;SLC1A1;SLC1A2;HTR2C;DBH;HTR2A;HTR4;SLC6A1;SLC6A2;CPLX1;ATXN3;GRIN2A;HTR7;GRM7;PENK;HCRT;SLC18A2;DRD4;CHRNB3;HOMER1;GAD1;HTR1D;HTR1A;HTR1B;OPRK1;HTR3A;HTR3B;PDYN;GRIN2B;SYN1;HCRTR1;DLG4;PNOC;CRH
GO_Biological_Process_2023	G Protein-Coupled Receptor Signaling Pathway, Coupled To Cyclic Nucleotide Second Messenger (GO:0007187)	16/50	2.698248e-18	2.293511e-15	0	0	3.634602e+01	1.470339e+03	CHRM2;HTR1D;HTR1A;HTR2C;HTR1B;HTR2A;OPRM1;HTR4;AGT;HTR7;MC1R;CNR2;CNR1;NPY;DRD1;DRD4
GO_Biological_Process_2023	Adenylate Cyclase-Inhibiting G Protein-Coupled Receptor Signaling Pathway (GO:0007193)	15/52	1.849356e-16	1.178964e-13	0	0	3.118454e+01	1.129708e+03	CHRM2;HTR1D;HTR1A;HTR1B;OPRK1;OPRM1;ADCY7;MCHR1;ADRA2A;ADCY5;GRM7;RGS1;DRD2;DRD3;DRD4
GO_Biological_Process_2023	Modulation Of Chemical Synaptic Transmission (GO:0050804)	20/123	3.120242e-16	1.591323e-13	0	0	1.518276e+01	5.420771e+02	GRIA1;LGI1;APP;GSK3B;HOMER1;GRID1;CAMK2A;GRIK3;CPLX2;TNF;CPLX1;GRM1;SYN1;RELN;GRM7;DLG4;IL1B;DRD2;HCRT;GRIA3
GO_Biological_Process_2023	Phospholipase C-activating G Protein-Coupled Receptor Signaling Pathway (GO:0007200)	17/83	9.683831e-16	4.115628e-13	0	0	1.993981e+01	6.893373e+02	CHRM2;HOMER1;HTR2C;OPRK1;HTR2A;OPRM1;TACR1;GRPR;ESR1;GRM1;ADRA2A;AGT;GALR2;DRD1;DRD2;DRD3;CMKLR1
GO_Biological_Process_2023	Regulation Of Synaptic Transmission, Glutamatergic (GO:0051966)	14/55	1.331924e-14	4.852011e-12	0	0	2.615849e+01	8.357524e+02	HOMER1;NRXN1;GRIK3;TNF;GRIN2B;GRM1;NPS;GRIN2A;RELN;GRM7;DRD1;DRD2;DRD3;HCN1
GO_Biological_Process_2023	Positive Regulation Of MAPK Cascade (GO:0043410)	27/310	1.771569e-14	5.201728e-12	0	0	7.603574e+00	2.407620e+02	APP;WWC1;HTR2C;HTR2A;ARRB2;TNF;MAP2K5;DRD4;MAPK3;NTRK2;TGFB1;PLA2G2A;LIF;NRG1;IGF1;CARTPT;OPRM1;ADRA2A;VEGFA;SOD1;GH1;ADCYAP1;IL6;LEP;IL1B;FGFR2;FGFR1
GO_Biological_Process_2023	Positive Regulation Of Macromolecule Metabolic Process (GO:0010604)	29/364	1.835904e-14	5.201728e-12	0	0	6.937535e+00	2.194249e+02	APP;GSK3B;CNTF;CXCL8;BRCA1;PSEN1;NTS;TNF;MAPK8;FGF20;AKT1;MAP2K5;NTRK2;TGFB1;TLE1;WFS1;NOS3;STAT3;DTNBP1;IGF1;NGF;AGT;VEGFA;FGF17;P2RX7;IL1A;IL6;IL1B;ATF4
GO_Biological_Process_2023	Cellular Response To Organic Cyclic Compound (GO:0071407)	19/152	2.472618e-13	6.305175e-11	0	0	1.110884e+01	3.224712e+02	GABRB3;TGFB1;SLC1A1;IL18;ATP1A3;RORA;BRCA1;NR3C1;ADCY8;TNF;ESR1;ADCY5;P2RX7;CRHBP;SFRP1;CREB1;IL1B;DRD1;HCN1
GO_Biological_Process_2023	Response To Ethanol (GO:0045471)	9/18	5.891376e-13	1.365728e-10	0	0	7.526718e+01	2.119532e+03	CRHBP;GRIN2A;TH;OPRM1;DRD2;GRIN2B;DRD3;DRD4;SOD1
