Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2023	Neuron Projection (GO:0043005)	69/557	1.575400e-46	3.009014e-44	0	0	1.346808e+01	1.420403e+03	GABRB3;CHRM2;APP;SNAP25;GSK3B;CNTF;GRIK3;HTR2C;HTR2A;SLC6A1;HTR4;COMT;SLC6A2;SLC6A3;SLC6A4;CRHBP;HTR7;PCLO;GRM7;STMN1;NEFM;SLC18A2;CHRNB3;HTR3A;OPRM1;HTR3B;PDYN;ADCYAP1;CDH13;ATF4;GRIA1;TPH1;CHRNA2;CHRNA4;CHRNA6;SLC1A1;CHAT;CAMK2A;HTT;ATP1A3;PSEN1;ADCY8;PTGS2;MCHR1;CRHR1;HDAC6;CRHR2;MAPK8;RELN;PENK;DRD2;DRD4;PRNP;NTRK2;HOMER1;GABRA6;WFS1;GABRA3;HTR1D;DTNBP1;HTR1A;HTR1B;OPRK1;NR1D1;GRIN2B;TH;DLG4;PNOC;HCN1
GO_Cellular_Component_2023	Dendrite (GO:0030425)	40/270	7.251970e-30	6.925631e-28	0	0	1.468022e+01	9.849880e+02	CHRM2;GRIA1;GSK3B;CHRNA4;SLC1A1;GRIK3;HTT;HTR2C;HTR2A;HTR4;ADCY8;COMT;HDAC6;CRHR2;SGCE;CRHBP;MAPK8;HTR7;RELN;GRM7;PENK;DRD2;SLC18A2;DRD4;PRNP;NTRK2;HOMER1;GABRA6;WFS1;GABRA3;HTR1D;HTR1A;HTR1B;NR1D1;OPRM1;PDYN;SOD1;DLG4;PNOC;HCN1
GO_Cellular_Component_2023	Axon (GO:0030424)	23/205	7.509243e-15	4.780884e-13	0	0	9.960586e+00	3.239446e+02	APP;GSK3B;NTRK2;CNTF;SLC1A1;GRIK3;DTNBP1;HTT;ATP1A3;OPRM1;SLC6A1;ADCY8;COMT;SLC6A3;HDAC6;MAPK8;PCLO;TH;GRM7;NEFM;DRD2;SLC18A2;HCN1
GO_Cellular_Component_2023	Postsynaptic Density (GO:0014069)	16/151	2.479577e-10	1.183998e-08	0	0	9.106870e+00	2.014236e+02	GRIA1;PRNP;NTRK2;HOMER1;GRID1;GRIK3;DTNBP1;CACNA1C;ADCY8;GRIN2B;GRM1;GRIN2A;GAP43;DLG4;DISC1;GRIA3
GO_Cellular_Component_2023	Asymmetric Synapse (GO:0032279)	14/133	3.654950e-09	1.396191e-07	0	0	8.976883e+00	1.743955e+02	GRIA1;PRNP;NTRK2;HOMER1;SLC1A1;DTNBP1;CACNA1C;ADCY8;GRIN2B;GRIN2A;GAP43;GRM7;DLG4;DISC1
GO_Cellular_Component_2023	Postsynaptic Density Membrane (GO:0098839)	8/34	1.371340e-08	4.365432e-07	0	0	2.305118e+01	4.173392e+02	GRIA1;GRIN2A;GRID1;DLG4;GRIK3;GRIN2B;GRM1;GRIA3
GO_Cellular_Component_2023	Postsynaptic Specialization Membrane (GO:0099634)	8/38	3.524469e-08	9.616767e-07	0	0	1.997364e+01	3.427666e+02	GRIA1;GRIN2A;GRID1;DLG4;GRIK3;GRIN2B;GRM1;GRIA3
GO_Cellular_Component_2023	Ionotropic Glutamate Receptor Complex (GO:0008328)	6/33	4.769494e-06	1.138717e-04	0	0	1.652159e+01	2.024435e+02	GRIA1;GRIN2A;DLG4;GRIK3;GRIN2B;GRIA3
GO_Cellular_Component_2023	Neuron To Neuron Synapse (GO:0098984)	4/10	6.493273e-06	1.378017e-04	0	0	4.924594e+01	5.882302e+02	GRM7;SLC1A1;ATP1A3;PDYN
GO_Cellular_Component_2023	Membrane Raft (GO:0045121)	11/169	2.015594e-05	3.849785e-04	0	0	5.240531e+00	5.666068e+01	APP;PRNP;SLC1A2;PSEN1;TNFRSF1B;ADCY8;TNF;SLC6A3;S100A10;SLC6A4;TNFRSF1A
GO_Cellular_Component_2023	Secretory Granule Lumen (GO:0034774)	15/316	2.916859e-05	5.064729e-04	0	0	3.781925e+00	3.949244e+01	APP;GRN;TGFB1;HP;NRG1;IGF1;DBH;VEGFA;APRT;POMC;TTR;HPSE;A2M;SLC18A1;PITX3
GO_Cellular_Component_2023	Dense Core Granule (GO:0031045)	4/16	5.277628e-05	8.400225e-04	0	0	2.461548e+01	2.424489e+02	CRHBP;NPY;PDYN;SLC6A2
