Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2021	hormone activity (GO:0005179)	17/78	3.166253e-16	1.377320e-13	0	0	2.157971e+01	7.701542e+02	UCN;OXT;TRH;IGF1;AGT;POMC;ADCYAP1;GH1;PYY;GAL;VGF;NPY;LEP;PENK;PNOC;CRH;HCRT
GO_Molecular_Function_2021	receptor ligand activity (GO:0048018)	27/307	1.395730e-14	3.035714e-12	0	0	7.686227e+00	2.452119e+02	CNTF;GRN;NTS;TNF;DPP4;NPY;FGF20;TGFB1;BDNF;LIF;IL18;NRG1;IGF1;NGF;AGT;VEGFA;FGF17;POMC;IL1A;GH1;PYY;IL6;VGF;ARTN;LEP;IL1B;CRH
GO_Molecular_Function_2021	neuropeptide hormone activity (GO:0005184)	10/26	7.754152e-13	1.124352e-10	0	0	4.720546e+01	1.316342e+03	UCN;ADCYAP1;PYY;GAL;NPY;PENK;PNOC;CRH;OXT;HCRT
GO_Molecular_Function_2021	G protein-coupled receptor activity (GO:0004930)	22/283	4.879109e-11	5.306031e-09	0	0	6.590285e+00	1.564762e+02	OXTR;TAAR6;OPRK1;ADRB1;OPRM1;GRPR;MCHR1;CRHR1;ADRA2A;GRM1;CRHR2;HCRTR1;MC4R;MC1R;CNR2;GALR2;CNR1;NPY;DRD1;DRD2;DRD3;CMKLR1
GO_Molecular_Function_2021	G protein-coupled amine receptor activity (GO:0008227)	10/39	7.948761e-11	6.915422e-09	0	0	2.602722e+01	6.052738e+02	CHRM2;HTR7;TAAR6;HTR1D;HTR1A;HTR2C;HTR1B;HTR2A;HTR4;DRD4
GO_Molecular_Function_2021	growth factor activity (GO:0008083)	13/87	1.631299e-10	1.112481e-08	0	0	1.338335e+01	3.016136e+02	CNTF;GRN;BDNF;LIF;NRG1;NGF;AGT;VEGFA;FGF17;GH1;IL6;ARTN;FGF20
GO_Molecular_Function_2021	postsynaptic neurotransmitter receptor activity (GO:0098960)	8/21	1.790200e-10	1.112481e-08	0	0	4.613279e+01	1.035382e+03	GRIA1;CHRNA2;CHRNB3;CHRNA4;CHRNA6;DRD1;GRM1;DRD4
GO_Molecular_Function_2021	serotonin receptor activity (GO:0099589)	9/33	3.912774e-10	1.891174e-08	0	0	2.820372e+01	6.109378e+02	CHRM2;HTR7;HTR1D;HTR1A;HTR2C;HTR1B;HTR2A;HTR4;DRD4
GO_Molecular_Function_2021	G protein-coupled serotonin receptor activity (GO:0004993)	9/33	3.912774e-10	1.891174e-08	0	0	2.820372e+01	6.109378e+02	CHRM2;HTR7;HTR1D;HTR1A;HTR2C;HTR1B;HTR2A;HTR4;DRD4
GO_Molecular_Function_2021	sodium:chloride symporter activity (GO:0015378)	6/9	4.753999e-10	2.067989e-08	0	0	1.488755e+02	3.195890e+03	SLC6A1;SLC18A1;SLC6A2;SLC18A2;SLC6A3;SLC6A4
GO_Molecular_Function_2021	ligand-gated cation channel activity (GO:0099094)	11/80	1.058007e-08	4.183936e-07	0	0	1.205463e+01	2.213747e+02	GRIA1;P2RX7;GRIN2A;KCNJ6;CHRNA2;CHRNA4;GRIK3;HTR3A;HTR3B;GRIN2B;GRIA3
GO_Molecular_Function_2021	G protein-coupled peptide receptor activity (GO:0008528)	11/82	1.380531e-08	5.004424e-07	0	0	1.171387e+01	2.120001e+02	MC4R;NPSR1;OXTR;MC1R;GALR2;OPRK1;GRPR;MCHR1;CRHR1;CRHR2;HCRTR1
GO_Molecular_Function_2021	monoamine transmembrane transporter activity (GO:0008504)	5/9	5.305822e-08	1.775410e-06	0	0	9.269267e+01	1.552776e+03	SLC18A1;SLC6A2;SLC18A2;SLC6A3;SLC6A4
GO_Molecular_Function_2021	ligand-gated channel activity (GO:0022834)	7/30	1.210288e-07	3.509835e-06	0	0	2.271772e+01	3.618305e+02	GRIA1;GRIN2A;CHRNA4;GRID1;GRIK3;GRIN2B;GRIA3
GO_Molecular_Function_2021	neuropeptide receptor activity (GO:0008188)	7/30	1.210288e-07	3.509835e-06	0	0	2.271772e+01	3.618305e+02	NPSR1;GAL;GALR2;OPRM1;TACR1;GRPR;MCHR1
GO_Molecular_Function_2021	ligand-gated ion channel activity (GO:0015276)	7/31	1.545293e-07	4.173745e-06	0	0	2.177004e+01	3.414170e+02	GRIA1;GRIN2A;CHRNA4;GRID1;GRIK3;GRIN2B;GRIA3
GO_Molecular_Function_2021	dopamine neurotransmitter receptor activity (GO:0004952)	4/5	1.631119e-07	4.173745e-06	0	0	2.955506e+02	4.619109e+03	DRD1;DRD2;DRD3;DRD4
GO_Molecular_Function_2021	transmitter-gated ion channel activity (GO:0022824)	7/34	3.053481e-07	7.379245e-06	0	0	1.934820e+01	2.902582e+02	GABRB3;GABRA6;GRID1;GABRA3;GRIK3;HTR3A;HTR3B
GO_Molecular_Function_2021	G protein-coupled receptor binding (GO:0001664)	12/143	5.913106e-07	1.353790e-05	0	0	6.931416e+00	9.940291e+01	POMC;PYY;SFRP1;ACE;HOMER1;NPY;PENK;PNOC;OXT;ARRB2;PDYN;NTS
GO_Molecular_Function_2021	transcription corepressor binding (GO:0001222)	6/29	2.140715e-06	4.656056e-05	0	0	1.939885e+01	2.532398e+02	PER2;PER3;RORA;NR1D1;ESR1;HDAC6
GO_Molecular_Function_2021	ionotropic glutamate receptor activity (GO:0004970)	5/17	2.383994e-06	4.938274e-05	0	0	3.088503e+01	3.998602e+02	GRIA1;GRIN2A;GRIK3;GRIN2B;GRIA3
GO_Molecular_Function_2021	transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315)	6/30	2.645643e-06	5.231157e-05	0	0	1.858962e+01	2.387390e+02	CHRNA2;GABRA6;CHRNA4;GRID1;GABRA3;GRIK3
GO_Molecular_Function_2021	glutamate receptor activity (GO:0008066)	5/19	4.381414e-06	8.286588e-05	0	0	2.647019e+01	3.265929e+02	GRIA1;GRM7;GRID1;GRIK3;GRM1
GO_Molecular_Function_2021	transcription coregulator binding (GO:0001221)	7/53	7.024367e-06	1.273167e-04	0	0	1.134560e+01	1.346283e+02	PER2;AR;PER3;RORA;NR1D1;ESR1;HDAC6
GO_Molecular_Function_2021	acetylcholine receptor activity (GO:0015464)	5/22	9.597705e-06	1.670001e-04	0	0	2.179567e+01	2.518268e+02	CHRM2;CHRNA2;CHRNB3;CHRNA4;CHRNA6
GO_Molecular_Function_2021	3',5'-cyclic-AMP phosphodiesterase activity (GO:0004115)	4/12	1.498133e-05	2.413658e-04	0	0	3.693071e+01	4.102524e+02	PDE1B;PDE4D;PDE4B;PDE4A
GO_Molecular_Function_2021	cAMP binding (GO:0030552)	4/12	1.498133e-05	2.413658e-04	0	0	3.693071e+01	4.102524e+02	PDE4D;PDE4B;PDE4A;HCN1
GO_Molecular_Function_2021	tumor necrosis factor binding (GO:0043120)	3/5	2.411376e-05	3.496495e-04	0	0	1.104123e+02	1.173984e+03	A2M;TNFRSF1B;TNFRSF1A
GO_Molecular_Function_2021	opioid receptor binding (GO:0031628)	3/5	2.411376e-05	3.496495e-04	0	0	1.104123e+02	1.173984e+03	PENK;PNOC;PDYN
GO_Molecular_Function_2021	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced pteridine as one donor, and incorporation of one atom of oxygen (GO:0016714)	3/5	2.411376e-05	3.496495e-04	0	0	1.104123e+02	1.173984e+03	TPH2;TPH1;TH
GO_Molecular_Function_2021	cytokine activity (GO:0005125)	11/173	2.505538e-05	3.515835e-04	0	0	5.110090e+00	5.413845e+01	IL1A;CNTF;IL6;TGFB1;CXCL8;IL1B;LIF;IL18;NRG1;TNF;VEGFA
GO_Molecular_Function_2021	transcription regulatory region nucleic acid binding (GO:0001067)	12/212	3.418113e-05	4.646498e-04	0	0	4.524093e+00	4.652503e+01	PER2;AR;HDAC5;PER3;STAT3;CRY2;NR1D1;BRCA1;TNF;ATF3;GABPA;ATF4
GO_Molecular_Function_2021	melanocortin receptor activity (GO:0004977)	3/6	4.774369e-05	6.293486e-04	0	0	7.360448e+01	7.323398e+02	MC4R;MC1R;OPRM1
GO_Molecular_Function_2021	adrenergic receptor binding (GO:0031690)	4/17	6.828174e-05	8.736046e-04	0	0	2.272083e+01	2.179352e+02	DLG4;PDE4D;ADRB1;ADRA2A
GO_Molecular_Function_2021	ubiquitin protein ligase binding (GO:0031625)	13/265	7.118144e-05	8.846836e-04	0	0	3.894441e+00	3.719300e+01	NGFR;GSK3B;ABCB1;WFS1;BRCA1;ARRB2;TNFRSF1B;HDAC6;MC4R;ATXN3;MC1R;BAG1;BCL2
GO_Molecular_Function_2021	interleukin-6 receptor binding (GO:0005138)	3/7	8.271365e-05	9.994566e-04	0	0	5.520056e+01	5.188922e+02	CNTF;IL6;IL6R
GO_Molecular_Function_2021	neuropeptide receptor binding (GO:0071855)	4/18	8.685826e-05	1.021171e-03	0	0	2.109684e+01	1.972815e+02	PYY;GAL;NPY;NTS
GO_Molecular_Function_2021	cytokine receptor binding (GO:0005126)	8/105	9.190346e-05	1.025077e-03	0	0	6.156403e+00	5.722236e+01	GH1;CNTF;IL6;IL1B;LIF;IL18;IL6R;VEGFA
GO_Molecular_Function_2021	growth factor receptor binding (GO:0070851)	8/105	9.190346e-05	1.025077e-03	0	0	6.156403e+00	5.722236e+01	FGF17;CNTF;IL6;IL1B;FGF20;PSEN1;IL6R;VEGFA
GO_Molecular_Function_2021	amyloid-beta binding (GO:0001540)	7/80	1.060832e-04	1.153655e-03	0	0	7.139477e+00	6.533540e+01	GRIA1;NGFR;PRNP;GRIN2A;ATP1A3;GRIN2B;GRIA3
GO_Molecular_Function_2021	ubiquitin-like protein ligase binding (GO:0044389)	13/282	1.327554e-04	1.408503e-03	0	0	3.645140e+00	3.254017e+01	NGFR;GSK3B;ABCB1;WFS1;BRCA1;ARRB2;TNFRSF1B;HDAC6;MC4R;ATXN3;MC1R;BAG1;BCL2
