Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Neuroactive ligand-receptor interaction	64/341	9.375560e-55	2.362641e-52	0	0	2.171171e+01	2.701026e+03	GABRB3;CHRM2;UCN;OXTR;PMCH;GRIK3;HTR2C;OXT;TRH;HTR2A;GRPR;HTR4;NR3C1;GRM1;MC4R;HTR7;GRM7;CHRNB3;GRID1;TAAR6;TACR1;OPRM1;PDYN;ADRA2A;ADCYAP1;GAL;CRH;GRIA1;CHRNA2;CHRNA4;CHRNA6;ADRB1;NTS;MCHR1;CRHR1;CRHR2;GRIN2A;CNR2;GALR2;CNR1;NPY;PENK;DRD1;HCRT;DRD2;TAC1;DRD3;GRIA3;DRD4;GABRA6;GABRA3;HTR1D;HTR1A;HTR1B;OPRK1;GRIN2B;AGT;HCRTR1;POMC;P2RX7;GH1;PYY;MC1R;LEP
KEGG_2021_Human	Dopaminergic synapse	30/132	2.309475e-28	2.909938e-26	0	0	2.395289e+01	1.524251e+03	GRIA1;GSK3B;MAOB;MAOA;CAMK2A;CACNA1C;ARRB2;COMT;SLC6A3;ADCY5;GRIN2A;MAPK8;PPP3CC;AKT1;DRD1;DRD2;DRD3;SLC18A1;DRD4;GRIA3;SLC18A2;KCNJ6;GRIN2B;CREB1;TH;PPP1R1B;GNB3;CLOCK;CALM2;ATF4
KEGG_2021_Human	cAMP signaling pathway	35/216	1.403999e-27	1.179359e-25	0	0	1.601695e+01	9.903355e+02	CHRM2;GRIA1;OXTR;CAMK2A;ATP2A2;ATP1A3;ADRB1;OXT;CACNA1C;HTR4;ADCY8;ADCY7;ADCY5;GRIN2A;MAPK8;NPY;PDE4B;AKT1;PDE4A;RAC1;DRD1;DRD2;GRIA3;MAPK3;BDNF;PDE4D;HTR1D;HTR1A;HTR1B;GRIN2B;POMC;ADCYAP1;CREB1;PPP1R1B;CALM2
KEGG_2021_Human	Serotonergic synapse	27/113	2.961546e-26	1.865774e-24	0	0	2.527454e+01	1.485676e+03	GABRB3;APP;TPH2;TPH1;MAOB;MAOA;HTR2C;CACNA1C;HTR2A;HTR4;CYP2C19;PTGS2;SLC6A4;ADCY5;HTR7;CYP2D6;SLC18A1;SLC18A2;MAPK3;KCNJ6;DUSP1;HTR1D;HTR1A;HTR1B;HTR3A;HTR3B;GNB3
KEGG_2021_Human	Amphetamine addiction	20/69	1.371455e-21	6.912131e-20	0	0	3.200260e+01	1.537354e+03	GRIA1;MAOB;MAOA;CAMK2A;CACNA1C;PDYN;GRIN2B;SLC6A3;ADCY5;GRIN2A;PPP3CC;CREB1;TH;PPP1R1B;DRD1;SLC18A1;CALM2;SLC18A2;GRIA3;ATF4
KEGG_2021_Human	Calcium signaling pathway	30/240	2.133200e-20	8.959441e-19	0	0	1.157024e+01	5.240635e+02	CHRM2;OXTR;PDE1B;CAMK2A;ATP2A2;HTR2C;ADRB1;CACNA1C;HTR2A;GRPR;HTR4;ADCY8;ADCY7;GRM1;GRIN2A;HTR7;PPP3CC;FGF20;DRD1;NTRK2;NOS2;NOS3;TACR1;NGF;VEGFA;FGF17;P2RX7;CALM2;FGFR2;FGFR1
KEGG_2021_Human	Cocaine addiction	17/49	4.655810e-20	1.676092e-18	0	0	4.119697e+01	1.833825e+03	MAOB;MAOA;BDNF;PDYN;GRIN2B;SLC6A3;ADCY5;GRIN2A;CREB1;TH;DLG4;PPP1R1B;DRD1;DRD2;SLC18A1;SLC18A2;ATF4
KEGG_2021_Human	Alcoholism	26/186	4.753648e-19	1.497399e-17	0	0	1.297944e+01	5.476052e+02	HDAC5;MAOB;MAOA;HDAC9;SLC6A3;HDAC6;ADCY5;GRIN2A;NPY;DRD1;DRD2;SLC18A1;SLC18A2;MAPK3;NTRK2;BDNF;PDYN;GRIN2B;CREB1;TH;PPP1R1B;CRH;GNB3;CALM2;SLC29A3;ATF4
KEGG_2021_Human	Pathways of neurodegeneration	37/475	7.047428e-18	1.973280e-16	0	0	6.964124e+00	2.750402e+02	GRIA1;APP;GSK3B;CAMK2A;HTT;ATP2A2;CACNA1C;PSEN1;PTGS2;TNF;SLC6A3;GRM1;ATXN3;GRIN2A;MAPK8;PPP3CC;NEFM;RAC1;GRIA3;MAPK3;PRNP;GPX1;NOS2;BDNF;PDYN;TNFRSF1B;GRIN2B;TNFRSF1A;SOD1;DKK4;IL1A;IL6;DLG4;IL1B;BCL2;CALM2;ATF4
KEGG_2021_Human	MAPK signaling pathway	28/294	5.709986e-16	1.438916e-14	0	0	8.431016e+00	2.959214e+02	CACNA1C;ARRB2;TNF;MAPK8;PPP3CC;STMN1;FGF20;AKT1;RAC1;MAP2K5;MAPK3;DUSP4;NGFR;NTRK2;TGFB1;DUSP1;BDNF;IGF1;NGF;DUSP6;VEGFA;TNFRSF1A;FGF17;IL1A;IL1B;FGFR2;ATF4;FGFR1
KEGG_2021_Human	Glutamatergic synapse	19/114	1.092377e-15	2.502535e-14	0	0	1.558254e+01	5.368250e+02	GRIA1;HOMER1;SLC1A1;SLC1A2;GRIK3;CACNA1C;ADCY8;GRIN2B;ADCY7;GRM1;ADCY5;GRIN2A;PPP3CC;GRM7;DLG4;GNB3;GLUL;GRIA3;MAPK3
KEGG_2021_Human	Circadian entrainment	17/97	1.516335e-14	3.184303e-13	0	0	1.643863e+01	5.230755e+02	GRIA1;KCNJ6;CAMK2A;CACNA1C;ADCY8;GRIN2B;ADCY7;ADCY5;PER2;ADCYAP1;GRIN2A;CREB1;PER3;GNB3;CALM2;GRIA3;MAPK3
KEGG_2021_Human	Chemical carcinogenesis	23/239	2.054523e-13	3.982614e-12	0	0	8.378118e+00	2.447547e+02	GSTM1;CHRNA4;STAT3;ADRB1;GSTT1;CACNA1C;ARRB2;ADCY8;PTGS2;CYP2C19;ADCY7;ESR1;ADCY5;VEGFA;HSD11B1;FGF17;AR;CREB1;FGF20;BCL2;AKT1;ATF4;MAPK3
KEGG_2021_Human	Pathways in cancer	33/531	3.099450e-13	5.579009e-12	0	0	5.354384e+00	1.542190e+02	ALK;NOTCH3;GSK3B;CXCL8;CAMK2A;GSTT1;ADCY8;PTGS2;ADCY7;ADCY5;MAPK8;FGF20;AKT1;RAC1;IL6R;MAPK3;GSTM1;TGFB1;NOS2;CDKN2A;STAT3;IGF1;ESR1;AGT;VEGFA;FGF17;AR;IL6;BCL2;GNB3;CALM2;FGFR2;FGFR1
