Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2022	Signaling By GPCR R-HSA-372790	69/689	2.284540e-40	1.889315e-37	0	0	1.052795e+01	9.609626e+02	CHRM2;APP;UCN;OXTR;CXCL8;DGKB;PMCH;HTR2C;OXT;TRH;HTR2A;ARRB2;GRPR;HTR4;GRM1;MC4R;CRHBP;HTR7;PPP3CC;GRM7;RGS1;PDE4B;AKT1;PDE4A;CMKLR1;ARHGEF10;TAAR6;PDE4D;TACR1;OPRM1;PDYN;ADRA2A;ADCYAP1;GAL;CREB1;CRH;NPSR1;PDE1B;CAMK2A;ADRB1;ADCY8;NTS;ADCY7;MCHR1;CRHR1;ADCY5;CRHR2;NPS;GALR2;NPY;PENK;DRD1;HCRT;DRD2;TAC1;DRD3;DRD4;MAPK3;HTR1D;HTR1A;HTR1B;OPRK1;HCRTR1;POMC;PYY;MC1R;PNOC;PPP1R1B;GNB3
Reactome_2022	Signal Transduction R-HSA-162582	120/2465	1.202373e-39	4.971810e-37	0	0	5.891300e+00	5.279578e+02	CHRM2;APP;OXTR;DGKB;WWC1;PMCH;RORA;GRPR;HTR4;NR3C1;TNF;CRHBP;HTR7;RGS1;STMN1;AKT1;IL6R;CMKLR1;PRKCI;TLE1;TAAR6;PDYN;DKK4;ADCYAP1;SFRP1;FKBP5;NOTCH3;TPH1;PDE1B;ADRB1;PSEN1;NTS;MCHR1;CRHR1;CRHR2;STIP1;GALR2;PENK;FGF20;DRD1;HCRT;DRD2;TAC1;DRD3;MAP2K5;DRD4;NGFR;EGR3;TGFB1;HTR1D;HTR1A;HTR1B;IGF1;GRIN2B;ESR1;GFAP;FGF17;PYY;IL6;MC1R;ARTN;PNOC;PPP1R1B;BCL2;GNB3;FGFR2;FGFR1;GABRB3;ALK;UCN;GSK3B;CXCL8;HTR2C;ATP2A2;OXT;MTR;TRH;HTR2A;ARRB2;GRM1;MC4R;PPP3CC;GRM7;PDE4B;PDE4A;DUSP4;ARHGEF10;PDE4D;NRG1;TACR1;OPRM1;NGF;DUSP6;ADRA2A;TNFRSF1A;GAL;CREB1;VGF;CRH;NPSR1;HDAC5;CAMK2A;ADCY8;ADCY7;HDAC9;HDAC6;ADCY5;NPS;MAPK8;NPY;NCAM1;MAPK3;NTRK2;STAT3;OPRK1;S100B;VEGFA;HCRTR1;POMC;LEP
Reactome_2022	GPCR Downstream Signaling R-HSA-388396	64/619	3.617593e-38	9.972499e-36	0	0	1.068143e+01	9.208719e+02	CHRM2;APP;OXTR;CXCL8;DGKB;PMCH;HTR2C;OXT;TRH;HTR2A;ARRB2;GRPR;HTR4;GRM1;MC4R;HTR7;PPP3CC;GRM7;RGS1;PDE4B;AKT1;PDE4A;ARHGEF10;TAAR6;PDE4D;TACR1;OPRM1;PDYN;ADRA2A;ADCYAP1;GAL;CREB1;CRH;NPSR1;PDE1B;CAMK2A;ADRB1;ADCY8;NTS;ADCY7;MCHR1;CRHR1;ADCY5;CRHR2;NPS;GALR2;NPY;PENK;DRD1;HCRT;TAC1;DRD3;DRD4;MAPK3;HTR1D;HTR1B;OPRK1;HCRTR1;POMC;PYY;MC1R;PNOC;PPP1R1B;GNB3
Reactome_2022	GPCR Ligand Binding R-HSA-500792	52/458	6.889425e-33	1.424389e-30	0	0	1.130076e+01	8.368816e+02	CHRM2;APP;UCN;OXTR;CXCL8;PMCH;HTR2C;OXT;TRH;HTR2A;GRPR;HTR4;GRM1;MC4R;CRHBP;HTR7;GRM7;CMKLR1;TAAR6;TACR1;OPRM1;PDYN;ADRA2A;ADCYAP1;GAL;CRH;NPSR1;ADRB1;NTS;MCHR1;CRHR1;CRHR2;NPS;GALR2;NPY;PENK;DRD1;HCRT;DRD2;TAC1;DRD3;DRD4;HTR1D;HTR1A;HTR1B;OPRK1;HCRTR1;POMC;PYY;MC1R;PNOC;GNB3
Reactome_2022	Class A/1 (Rhodopsin-like Receptors) R-HSA-373076	43/327	7.226421e-30	1.195250e-27	0	0	1.291288e+01	8.664520e+02	NPSR1;CHRM2;APP;OXTR;CXCL8;PMCH;HTR2C;ADRB1;OXT;TRH;HTR2A;GRPR;HTR4;NTS;MCHR1;NPS;MC4R;HTR7;GALR2;NPY;PENK;DRD1;HCRT;DRD2;TAC1;DRD3;DRD4;CMKLR1;TAAR6;HTR1D;HTR1A;HTR1B;OPRK1;TACR1;OPRM1;PDYN;ADRA2A;HCRTR1;POMC;PYY;MC1R;GAL;PNOC
Reactome_2022	Transmission Across Chemical Synapses R-HSA-112315	36/246	9.640628e-27	1.328800e-24	0	0	1.423878e+01	8.529574e+02	GABRB3;GRIA1;SNAP25;CHRNA2;MAOA;CHRNA4;CHRNA6;SLC1A1;CAMK2A;GRIK3;SLC1A2;SLC6A1;ADCY8;COMT;ADCY7;CPLX1;SLC6A3;SLC6A4;ADCY5;GRIN2A;GLUL;SLC18A2;GRIA3;MAPK3;KCNJ6;CHRNB3;GABRA6;GAD1;GABRA3;HTR3A;NRG1;HTR3B;GRIN2B;SYN1;CREB1;GNB3
Reactome_2022	Neuronal System R-HSA-112316	41/386	8.002908e-25	9.454865e-23	0	0	1.001568e+01	5.557181e+02	GABRB3;GRIA1;SNAP25;CHRNA2;MAOA;CHRNA4;NRXN1;CHRNA6;SLC1A1;CAMK2A;GRIK3;SLC1A2;ADCY8;SLC6A1;COMT;ADCY7;CPLX1;SLC6A3;GRM1;ADCY5;SLC6A4;GRIN2A;GLUL;SLC18A2;GRIA3;MAPK3;KCNJ6;CHRNB3;HOMER1;GABRA6;GAD1;GABRA3;NRG1;HTR3A;HTR3B;GRIN2B;SYN1;CREB1;GNB3;KCNK2;HCN1
Reactome_2022	G Alpha (I) Signaling Events R-HSA-418594	34/312	4.698061e-21	4.856621e-19	0	0	1.003755e+01	4.698290e+02	CHRM2;APP;CXCL8;PDE1B;PMCH;CAMK2A;ADCY8;ADCY7;MCHR1;ADCY5;PPP3CC;GRM7;GALR2;RGS1;NPY;PENK;PDE4B;PDE4A;DRD3;DRD4;PDE4D;HTR1D;HTR1B;OPRK1;OPRM1;PDYN;ADRA2A;POMC;PYY;GAL;CREB1;PNOC;PPP1R1B;GNB3
Reactome_2022	Peptide Ligand-Binding Receptors R-HSA-375276	27/196	1.426365e-19	1.310671e-17	0	0	1.280726e+01	5.557579e+02	NPSR1;APP;OXTR;CXCL8;PMCH;OXT;TRH;GRPR;NTS;MCHR1;MC4R;NPS;GALR2;NPY;PENK;HCRT;TAC1;OPRK1;TACR1;OPRM1;PDYN;HCRTR1;POMC;PYY;MC1R;GAL;PNOC
Reactome_2022	Amine Ligand-Binding Receptors R-HSA-375280	15/40	1.918655e-18	1.586727e-16	0	0	4.618125e+01	1.883960e+03	CHRM2;TAAR6;HTR1D;HTR1A;HTR2C;HTR1B;ADRB1;HTR2A;HTR4;ADRA2A;HTR7;DRD1;DRD2;DRD3;DRD4
