DOClass	Disease	DiseaseClass	EvidenceIndexGDA	EvidenceLevelGDA	FirstRef	Gene	GeneDPI	GeneDSI	GeneFullName	GenePLI	HPOClass	LastRef	NumDiseasesAssociatedToGene	NumGenesDisease	NumPMIDs	NumVariantsAssociatedToGene	NumVariantsDisease	NumVariantsGDA	PathwayIDs	PathwayNames	ProteinClass	ScoreGDA	SemanticType	Type	UnitProt	diseaseUMLSCUI	geneEnsemblIDs	geneNcbiID	geneNcbiType	numCTs	numberChemsIncludedInEvidence	numberPmidsWithChemsIncludedInEvidence
	Depressive neurosis	Mental Disorders	0.9142857142857144		2013.0	CRH	0.91	0.42	corticotropin releasing hormone	0.0059146	Abnormality of the nervous system (00707)	2015.0	43	271	5	1	6	0	R-HSA-162582,R-HSA-74160	Signal Transduction,Gene expression (Transcription)	Signaling	1.0	Mental or Behavioral Dysfunction (T048)	disease	A0A0S2Z478,P06850	C0011581	ENSG00000147571	1392	protein-coding	2	0	0
	Depressive neurosis	Mental Disorders	0.8942148760330578		2014.0	SLC6A4	0.96	0.39	solute carrier family 6 member 4	0.99985	Abnormality of the nervous system (00707)	2015.0	59	271	5	97	6	0	R-HSA-112316	Neuronal System	Transporter	1.0	Mental or Behavioral Dysfunction (T048)	disease	B2R7Y7,P31645	C0011581	ENSG00000108576	6532	protein-coding	7	0	0
	Depressive neurosis	Mental Disorders	0.9074074074074074		2014.0	NR3C1	0.96	0.37	nuclear receptor subfamily 3 group C member 1	1.0	Abnormality of the nervous system (00707)	2015.0	41	271	4	116	6	0	R-HSA-162582,R-HSA-1643685,R-HSA-392499,R-HSA-400253,R-HSA-74160,R-HSA-8953897	Signal Transduction,Disease,Metabolism of proteins,Circadian Clock,Gene expression (Transcription),Cellular responses to stimuli	Nuclear receptor	1.0	Mental or Behavioral Dysfunction (T048)	disease	E5KQF5,F1D8N4,E5KQF6,P04150	C0011581	ENSG00000113580	2908	protein-coding	2	3	2
	Depressive neurosis	Mental Disorders	0.8740740740740741		2013.0	TNF	0.96	0.23	tumor necrosis factor	0.85687	Abnormality of the nervous system (00707)	2015.0	308	271	5	9	6	0	R-HSA-1266738,R-HSA-162582,R-HSA-168256	Developmental Biology,Signal Transduction,Immune System	Signaling	0.95	Mental or Behavioral Dysfunction (T048)	disease	P01375,Q5STB3	C0011581	ENSG00000232810	7124	protein-coding	57	1	1
	Depressive neurosis	Mental Disorders	0.9047619047619048		2012.0	BDNF	0.96	0.32	brain derived neurotrophic factor	0.99974	Abnormality of the nervous system (00707)	2015.0	54	271	5	32	6	0	R-HSA-162582,R-HSA-1643685,R-HSA-74160	Signal Transduction,Disease,Gene expression (Transcription)	Signaling	0.95	Mental or Behavioral Dysfunction (T048)	disease	P23560,A0A0E3SU01	C0011581	ENSG00000176697	627	protein-coding	75	1	1
	Depressive neurosis	Mental Disorders	0.9230769230769232		2014.0	HTR1A	0.91	0.48	5-hydroxytryptamine receptor 1A	0.00023419	Abnormality of the nervous system (00707)	2014.0	28	271	5	1	6	0	R-HSA-162582	Signal Transduction	G-protein coupled receptor	0.95	Mental or Behavioral Dysfunction (T048)	disease	A8K5W4,Q5ZGX3,P08908	C0011581	ENSG00000178394	3350	protein-coding	4	1	1
	Depressive neurosis	Mental Disorders	0.9112903225806452		2015.0	IL6	0.96	0.23	interleukin 6	0.19935	Abnormality of the nervous system (00707)	2015.0	209	271	3	5	6	0	R-HSA-162582,R-HSA-1643685,R-HSA-168256,R-HSA-392499,R-HSA-74160,R-HSA-8953897	Signal Transduction,Disease,Immune System,Metabolism of proteins,Gene expression (Transcription),Cellular responses to stimuli		0.95	Mental or Behavioral Dysfunction (T048)	disease	P05231,B5MC21,B4DNQ5,B4DVM1,Q75MH2	C0011581	ENSG00000136244	3569	protein-coding	78	2	2
	Depressive neurosis	Mental Disorders	0.8888888888888888		2013.0	HCRT	0.96	0.45	hypocretin neuropeptide precursor	0.0030594	Abnormality of the nervous system (00707)	2014.0	17	271	5	1	6	0	R-HSA-162582	Signal Transduction		0.9	Mental or Behavioral Dysfunction (T048)	disease	O43612	C0011581	ENSG00000161610	3060	protein-coding	1	0	0
	Depressive neurosis	Mental Disorders	0.9142857142857144		2013.0	HTR2A	0.91	0.44	5-hydroxytryptamine receptor 2A	0.35656	Abnormality of the nervous system (00707)	2014.0	43	271	5	3	6	0	R-HSA-162582	Signal Transduction	G-protein coupled receptor	0.9	Mental or Behavioral Dysfunction (T048)	disease	P28223	C0011581	ENSG00000102468	3356	protein-coding	1	2	3
	Depressive neurosis	Mental Disorders	0.98		2013.0	TPH2	0.83	0.53	tryptophan hydroxylase 2	0.71682	Abnormality of the nervous system (00707)	2015.0	19	271	5	6	6	0	R-HSA-1430728	Metabolism		0.9	Mental or Behavioral Dysfunction (T048)	disease	Q8IWU9	C0011581	ENSG00000139287	121278	protein-coding	1	1	2
